Time U-Total U8 
0.16666666666666666 6.242133333333333 1.0 
0.3333333333333333 5.142156266014192 1.0 
0.5 5.142156266014192 1.0 
0.6666666666666666 5.142156266014192 1.0 
2.1666666666666665 5.142156266014192 1.0 
3.6666666666666665 5.142156266014192 1.0 
5.166666666666667 5.142156266014192 1.0 
6.666666666666667 5.142156266014192 1.0 
8.166666666666666 5.142156266014192 1.0 
9.666666666666666 5.1421494058275465 0.9999999999999999 
11.166666666666666 5.142185258333214 1.0 
12.666666666666666 5.142233830978053 1.0 
14.166666666666666 5.142274625464385 1.0 
15.666666666666666 5.142281813684547 1.0 
17.166666666666668 5.142283080224771 1.0 
18.666666666666668 5.1422833033828805 1.0 
20.166666666666668 5.142283342702171 1.0 
21.666666666666668 5.142283349630023 1.0 
23.166666666666668 5.142283350850673 1.0 
24.666666666666668 5.142283351065746 0.9999999999999999 
26.166666666666668 5.142283351103639 1.0 
27.666666666666668 5.142283351110317 0.9999999999999999 
29.166666666666668 5.142283351111493 1.0 
30.666666666666668 5.1422833511117 1.0 
32.166666666666664 5.142283351111735 1.0 
33.666666666666664 5.142283351111743 1.0 
35.166666666666664 5.142283351111743 1.0 
36.666666666666664 5.142283351111743 1.0 
38.166666666666664 5.142283351111743 1.0 
39.666666666666664 5.142283351111743 1.0 
41.166666666666664 5.142283351111743 1.0 
42.666666666666664 5.142283351111744 1.0 
44.166666666666664 5.142283351111743 1.0 
45.666666666666664 5.142283351111743 1.0 
47.166666666666664 5.142283351111743 1.0 
48.666666666666664 5.142283351111744 1.0 
50.166666666666664 5.142283351111743 1.0 
51.666666666666664 5.142283351111743 1.0 
53.166666666666664 5.142283351111743 1.0 
54.666666666666664 5.142283351111743 1.0 
56.166666666666664 5.142283351111743 1.0 
57.666666666666664 5.142283351111743 1.0 
59.166666666666664 5.142283351111743 1.0 
60.666666666666664 5.142283351111743 1.0 
62.166666666666664 5.142283351111744 1.0 
63.666666666666664 5.142283351111743 1.0 
65.16666666666667 5.142283351111743 1.0 
66.66666666666667 5.142283351111743 1.0 
68.16666666666667 5.142283351111743 1.0 
69.66666666666667 5.142283351111743 1.0 
71.16666666666667 5.142283351111744 1.0 
72.66666666666667 5.142283351111743 1.0 
74.16666666666667 5.142283351111743 1.0 
75.66666666666667 5.142283351111743 1.0 
77.16666666666667 5.142283351111743 1.0 
78.66666666666667 5.142283351111744 1.0 
79.83333333333333 4.513263282355746 1.0 
79.91666666666667 0.6290200687559977 1.0 
80.0 4.510594703971274 1.0 
81.41666666666667 5.139614772727272 1.0 
82.91666666666667 5.139614772727272 1.0 
84.41666666666667 5.139614772727272 1.0 
85.91666666666667 5.139614772727272 1.0 
87.33333333333333 5.741651224282421 1.0 
87.66666666666667 5.3874496075702085 1.0 
89.16666666666667 5.44629851534151 0.9999999999999999 
90.66666666666667 5.193592104901149 1.0 
92.16666666666667 5.15334429072334 0.9999999999999999 
93.66666666666667 5.144835175531709 1.0 
95.16666666666667 5.142959535834476 1.0 
96.66666666666667 5.1425424734011305 1.0 
98.16666666666667 5.142449558504671 0.9999999999999999 
99.66666666666667 5.142428849717742 1.0 
