Time 1.1-W-U-Total 1.1-W-U8 1.1-M-U-Total 1.1-M-U8 1.2-W-U-Total 1.2-W-U8 1.2-M-U-Total 1.2-M-U8 1.3-W-U-Total 1.3-W-U8 1.3-M-U-Total 1.3-M-U8 
0.16666666666666666 6.242133333333333 1.0 5.201777777777777 1.0 6.242133333333333 1.0 5.201777777777777 1.0 3.8366219071561636 0.9998476990699613 5.201783494473742 0.9999989227898988 
0.3333333333333333 5.142156266014192 1.0 5.14091083968 1.0 5.151880674669669 1.0 5.14091083968 1.0 4.959728530577936 0.999852254833004 5.140916489483875 0.9999989227898988 
0.5 5.142156266014192 1.0 5.14091083968 1.0 5.151880674669669 1.0 5.14091083968 1.0 4.973426278859249 0.999837063993355 5.14091083968 1.0 
0.6666666666666666 5.142156266014192 1.0 5.14091083968 1.0 5.151880674669669 1.0 5.14091083968 1.0 4.964479057021899 0.9998462247438735 5.140916623337743 0.999998897307061 
2.1666666666666665 5.142156266014192 1.0 5.14091083968 1.0 5.151880674669669 1.0 5.14091083968 1.0 4.9728376173037585 0.9998357020260356 5.140916623337743 0.999998897307061 
3.6666666666666665 5.142156266014192 1.0 5.14091083968 1.0 5.151880674669669 1.0 5.14091083968 1.0 4.962726619005012 0.9998447879700592 5.141012661172206 0.9999806483948355 
5.166666666666667 5.142156266014192 1.0 5.14091083968 1.0 5.151880674669669 1.0 5.14091083968 1.0 4.970730030558297 0.999834330796508 5.14091083968 1.0 
6.666666666666667 5.142156266014192 1.0 5.14091083968 1.0 5.151880674669669 1.0 5.14091083968 1.0 4.960636594354271 0.9998433354911759 5.14091083968 1.0 
8.166666666666666 5.142156266014192 1.0 5.14091083968 1.0 5.151880674669669 1.0 5.14091083968 1.0 4.968548877620887 0.9998329409166694 5.14091083968 1.0 
9.666666666666666 5.1421494058275465 0.9999999999999999 5.14091083968 1.0 5.151880674669669 1.0 5.14091083968 1.0 4.958531147975712 0.9998418646064265 0.4869825671206186 0.9999057760460369 
11.166666666666666 5.142185258333214 1.0 5.1408917004072725 1.0 5.151880674669669 1.0 5.140660194261228 0.9999516536240479 4.966364231476908 0.9998315319265069 4.666312191871677 0.9998511150184991 
12.666666666666666 5.142233830978053 1.0 5.1408917004072725 1.0 5.151735773536746 0.9999721104663956 5.140660194261228 0.9999516536240479 4.956422977012753 0.9998403751704229 0.47380145325444906 0.9998476990920664 
14.166666666666666 5.142274625464385 1.0 5.1408917004072725 1.0 5.152232183630111 0.999961875794853 5.140660194261228 0.9999516536240479 4.964176462832458 0.9998301037698365 4.680738667228097 0.9998511150184991 
15.666666666666666 5.142281813684547 1.0 5.1408917004072725 1.0 5.152529925104799 0.9999618752035515 5.140660194261228 0.9999516536240479 4.954309836378053 0.9998388671299931 0.459374927815849 0.9998476990920664 
17.166666666666668 5.142283080224771 1.0 5.1408917004072725 1.0 5.152543353368867 0.9999544528177658 5.140660194261228 0.9999516536240479 4.96198292753616 0.9998286563821879 4.695165142584517 0.9998511150184991 
18.666666666666668 5.1422833033828805 1.0 5.1408917004072725 1.0 5.152684147685264 0.999951643095312 5.140660194261228 0.9999516536240479 4.952189114187867 0.9998373404098813 0.4449484023772491 0.9998476990920663 
20.166666666666668 5.142283342702171 1.0 5.1408917004072725 1.0 5.152766660776784 0.9999516430953119 5.140660194261228 0.9999516536240479 4.959781160407348 0.9998271896748826 4.709591617940937 0.999851115018499 
21.666666666666668 5.142283349630023 1.0 5.1408917004072725 1.0 5.152781059093944 0.9999516430953119 5.140660194261228 0.9999516536240479 4.950058482814263 0.9998357949105994 0.43052187693864913 0.9998476990920663 
23.166666666666668 5.142283350850673 1.0 5.1408917004072725 1.0 5.152783571299812 0.9999516430953119 5.140660194261228 0.9999516536240479 4.957568983092053 0.9998257035370878 4.724018093297357 0.999851115018499 
24.666666666666668 5.142283351065746 0.9999999999999999 5.1408917004072725 1.0 5.152784009619315 0.9999516430953119 5.140660194261228 0.9999516536240479 4.947915888861622 0.9998342305110277 0.4160953515000491 0.9998476990920663 
26.166666666666668 5.142283351103639 1.0 5.1408917004072725 1.0 5.1527840860952825 0.9999516430953118 5.140660194261228 0.9999516536240479 4.95534447163222 0.9998241978382977 4.738444568653776 0.9998511150184991 
27.666666666666668 5.142283351110317 0.9999999999999999 5.1408917004072725 1.0 5.152784099438451 0.9999516430953118 5.140660194261228 0.9999516536240479 4.945759517536441 0.9998326470708565 0.40166882606144916 0.9998476990920663 
29.166666666666668 5.142283351111493 1.0 5.1408917004072725 1.0 5.152784101766503 0.9999516430953119 5.140660194261228 0.9999516536240479 4.953105922465785 0.9998226724305052 4.752871044010195 0.9998511150184991 
30.666666666666668 5.1422833511117 1.0 5.1408917004072725 1.0 5.1527841021726895 0.9999516430953119 5.140660194261228 0.9999516536240479 4.943587760488832 0.9998310444326972 0.38724230062284914 0.9998476990920664 
32.166666666666664 5.142283351111735 1.0 5.1408917004072725 1.0 5.152784102243561 0.9999516430953118 5.140660194261228 0.9999516536240479 4.950851822657651 0.9998211271500707 4.767297519366616 0.9998511150184991 
33.666666666666664 5.142283351111743 1.0 5.1408917004072725 1.0 5.152784102255925 0.999951643095312 5.140660194261228 0.9999516536240479 4.941399187859522 0.9998294224239015 0.3728157751842492 0.9998476990920664 
35.166666666666664 5.142283351111743 1.0 5.1408917004072725 1.0 5.1527841022580825 0.999951643095312 5.140660194261228 0.9999516536240479 4.948580824064658 0.9998195618193321 4.781723994723035 0.9998511150184991 
