Time 3-MLP-U-Total 3-MLP-U8 
0.75 18.385269189050486 0.9987020420245085 
5.25 18.272437147312225 0.9986599789445969 
9.75 18.16362981227135 0.9986166129494838 
14.25 18.07162170280811 0.9985724510032205 
18.75 17.998761798106557 0.998523223902655 
23.25 17.94418913818349 0.9984615301613996 
27.75 17.92685946733398 0.9980424134315551 
32.25 17.907163950812247 0.9979494283875616 
36.75 17.898876498972697 0.9978006009464035 
41.25 17.87646678801495 0.9981211841558362 
45.75 17.895325659583612 0.9976313903786399 
50.25 17.88313125101668 0.9979392350764413 
54.75 17.90468925597948 0.9975394175001643 
59.25 17.896265064624096 0.997777312456917 
63.75 17.92020092902007 0.9973288421170128 
68.25 17.932588962713574 0.9970273362782058 
72.75 17.9208988226742 0.997511682856493 
77.25 17.94508269757472 0.9970076729768854 
80.08333333333333 17.965059551243876 0.9968875195176538 
84.58333333333333 17.971101002159664 0.9968074197195232 
89.08333333333333 17.957290302832924 0.9972990519222917 
93.58333333333333 17.97736451126545 0.9967176549590013 
98.08333333333333 17.98328911117117 0.9964901543518905 
