Time 3-MLP-STD-U-Total 3-MLP-STD-U8 
0.75 18.145650815559318 0.9987017437800664 
5.25 17.99174641861854 0.9986566557913114 
9.75 17.82822449910136 0.9986090153106385 
14.25 17.67442141114553 0.998559002372767 
18.75 17.53032835739386 0.998506940955324 
23.25 17.415285307859627 0.9984528407747579 
27.75 17.337960471051563 0.9980011662149396 
32.25 17.252714761109836 0.9978959990972867 
36.75 17.19622381857668 0.9977669379904963 
41.25 17.111037060624767 0.9981701907025603 
45.75 17.099925288428995 0.9976259120797208 
50.25 17.04597452898687 0.9980114586476146 
54.75 17.043027643867394 0.9975707280790899 
59.25 16.999309471802544 0.9979103116588861 
63.75 17.005461077339746 0.9974172815862133 
68.25 17.00679834186947 0.9970929011550022 
72.75 16.982605376056963 0.9976999988668357 
77.25 16.987799275722264 0.9971059448932349 
80.08333333333333 16.9886741725734 0.9970478419015442 
84.58333333333333 16.98950924390749 0.9968875595472547 
89.08333333333333 16.965882389334173 0.9975280948697425 
93.58333333333333 16.989728802312815 0.9968921574924999 
98.08333333333333 16.990721506914696 0.9966932882188316 
