Time 1.1-M-Pu-Total 1.1-M-Pu9 1.2-M-Pu-Total 1.2-M-Pu8 1.2-M-Pu9 1.2-M-Pu10 1.2-M-Pu11 1.2-M-Pu12 1.3-M-Pu-Total 1.3-M-Pu8 1.3-M-Pu9 1.3-M-Pu10 1.3-M-Pu11 1.3-M-Pu12 
0.16666666666666666 0.35377777777777775 1.0 0.35377777777777775 0.019095477386934675 0.42490577889447234 0.28569409547738694 0.16300251256281406 0.10730213567839196 0.353539448368926 0.019095768884813197 0.42519120557741513 0.2858841759358628 0.16245439395657124 0.10737445564533753 
0.25 0.34963816031999995 1.0 0.34963816031999995 0.019095477386934675 0.42490577889447234 0.285694095477387 0.1630025125628141 0.10730213567839196 0.34916800936070064 0.019096018183589494 0.42547588366137395 0.28607375061706736 0.16190776064771903 0.10744658689025025 
0.3333333333333333 0.34963816031999995 1.0 0.34963816031999995 0.019095477386934675 0.42490577889447234 0.285694095477387 0.1630025125628141 0.10730213567839196 0.3489343266024315 0.01909622539555004 0.4257598139267376 0.2862628200554009 0.1613626110133775 0.10751852960893392 
0.4166666666666667 0.34963816031999995 1.0 0.34963816031999995 0.019095477386934675 0.42490577889447234 0.285694095477387 0.1630025125628141 0.10730213567839196 0.3487015658789856 0.019096390633140718 0.4260429971616806 0.28645138479048465 0.16081894341553366 0.1075902839991603 
0.5 0.34963816031999995 1.0 0.34963816031999995 0.019095477386934675 0.42490577889447234 0.285694095477387 0.1630025125628141 0.10730213567839196 0.34846972524009023 0.019096514008963172 0.4263254341621007 0.2866394453671189 0.16027675620116405 0.10766185026065336 
2.0 0.34963816031999995 1.0 0.34963816031999995 0.019095477386934675 0.42490577889447234 0.285694095477387 0.1630025125628141 0.10730213567839196 0.3444496320676893 0.019091705614838535 0.4312826459975919 0.28993897562984855 0.15076856084208298 0.1089181119156381 
3.5 0.34963816031999995 1.0 0.34963816031999995 0.019095477386934675 0.42490577889447234 0.285694095477387 0.1630025125628141 0.10730213567839196 0.3407055232147578 0.019074035990411402 0.4360034832660733 0.2930788514102167 0.14172885208425712 0.11011477724904119 
5.0 0.34963816031999995 1.0 0.34963816031999995 0.019095477386934675 0.42490577889447234 0.285694095477387 0.1630025125628141 0.10730213567839196 0.33721808341825593 0.019044178448449425 0.4404937090287678 0.29606300126768614 0.13314581666746045 0.11125329458763626 
6.5 0.34963816031999995 1.0 0.34963816031999995 0.019095477386934675 0.42490577889447234 0.285694095477387 0.1630025125628141 0.10730213567839196 0.33396935569777353 0.01900280954774334 0.4447596612575742 0.2988957383242112 0.12500653316973884 0.11233525770073235 
8.0 0.34963816031999995 1.0 0.34963816031999995 0.019095477386934675 0.42490577889447234 0.285694095477387 0.1630025125628141 0.10730213567839196 0.3309426392442774 0.018950603807305354 0.44880814931208746 0.30158169047850564 0.11729717672099838 0.11336237968110335 
9.5 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.33532536785726164 0.021335819298709112 0.44564677446615625 0.3027636235550487 0.11802356917039943 0.11223021350968651 
11.0 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.33531801211292644 0.021335677689139892 0.44565649754543857 0.30277013355409554 0.11800501647811153 0.11223267473321442 
12.5 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.33531115628717334 0.021335511449667506 0.4456655566234829 0.3027761924590194 0.1179877707310072 0.11223496873682312 
14.0 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.33530476543897975 0.02133532271806025 0.44567399806013713 0.3027818317661862 0.11797174026004525 0.11223710719557109 
15.5 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.3352988070774268 0.021335113477456768 0.4456818649706984 0.30278708076764405 0.11795683981677649 0.11223910096742436 
17.0 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.33529325099006746 0.021334885567236984 0.4456891974526964 0.3027919667051948 0.11794299012450286 0.11224096015036886 
18.5 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.3352880690830465 0.021334640693136838 0.44569603279687725 0.3027965149137356 0.11793011746070681 0.11224269413554343 
20.0 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.3352832352324408 0.0213343804366569 0.44570240568348274 0.30280074895461023 0.11791815326858007 0.11224431165666995 
21.5 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.335278725146033 0.02133410626381387 0.4457083483648467 0.30280469073966376 0.11790703379563837 0.11224582083603737 
23.0 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.33527451623478505 0.021333819533280483 0.4457138908352542 0.3028083606466434 0.11789669975754404 0.11224722922727799 
24.5 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.33527058749333183 0.021333521503956412 0.44571906098894787 0.30281177762654765 0.1178870960253887 0.11224854385515942 
26.0 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.3352669193888614 0.021333213342009532 0.4457238847671044 0.3028149593034807 0.11787817133480752 0.112249771252598 
27.5 0.34965729959272723 1.0 0.34988009549494953 0.019088615224036785 0.42493786662630634 0.28567184137698237 0.16302097370338253 0.10728070306929204 0.3352634937577935 0.02133289612742456 0.4457283862945462 0.3028179220675337 0.11786987801540759 0.11225091749508775 
