Time 3-MLP-STD-U-Total 3-MLP-STD-U8 
5.25 18.442945722563778 0.9990556593578486 
9.75 18.291467802501394 0.9989849939301658 
14.25 18.131720813620742 0.998913502075159 
18.75 17.9796679689565 0.998845069333793 
23.25 17.837051659520263 0.9987785562305406 
27.75 17.72305466568134 0.998715737552263 
32.25 17.644144729963667 0.9984009904185573 
36.75 17.558832883249885 0.9983102352761799 
41.25 17.50126015465513 0.998202567407093 
45.75 17.417915176433485 0.9984498265819474 
50.25 17.403279318575954 0.998064513097611 
54.75 17.35066559254238 0.9983191115088338 
59.25 17.34483590539026 0.9980130981087256 
63.75 17.302618195054848 0.998231309528178 
68.25 17.30600581436111 0.9978829353777858 
72.75 17.305846764537414 0.9976360011291765 
77.25 17.28432352751337 0.9980637155100883 
80.0 17.28658824627363 0.9976477756831037 
84.58333333333333 17.287489666672084 0.9975870884706612 
89.08333333333333 17.287617463392404 0.9974715402124135 
93.58333333333333 17.26703389929712 0.997923407005936 
98.08333333333333 17.288082800386665 0.9974690927518481 
