Time 1.1_W_Pu_Total 1.1_W_Pu9 1.1_M_Pu_Total 1.1_M_Pu9 1.2_W_Pu_Total 1.2_W_Pu8 1.2_W_Pu9 1.2_W_Pu10 1.2_W_Pu11 1.2_W_Pu12 1.2_M_Pu_Total 1.2_M_Pu8 1.2_M_Pu9 1.2_M_Pu10 1.2_M_Pu11 1.2_M_Pu12 1.3_W_Pu_Total 1.3_W_Pu8 1.3_W_Pu9 1.3_W_Pu10 1.3_W_Pu11 1.3_W_Pu12 1.3_M_Pu_Total 1.3_M_Pu8 1.3_M_Pu9 1.3_M_Pu10 1.3_M_Pu11 1.3_M_Pu12 
2 0.36911767619726965 0.9999999999999999 0.6287575442375373 1.0 0.35998413575891947 0.0004671391752577319 0.9652276632302406 0.0331078178694158 0.0011597938144329895 3.758591065292096e-05 0.628708890199237 0.0004671391752577319 0.9652276632302403 0.033107817869415794 0.0011597938144329895 3.758591065292096e-05 0.46443431995841244 0.00046683514048889165 0.9652326770781422 0.03310777768466572 0.001155123906551413 3.758619015200462e-05 0.6288644172489705 0.00046683514048889154 0.9652326770781419 0.033107777684665704 0.0011551239065514126 3.7586190152004605e-05 
4 0.3647939340038334 0.9999999999999999 0.6268772762130899 1.0 0.33964291348391273 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.6268285220054106 0.00046713917525773203 0.9652276632302407 0.03310781786941581 0.0011597938144329897 3.758591065292097e-05 0.3417207398694686 0.0004662276378822427 0.9652426498272508 0.03310769542796752 0.0011458403598856328 3.758674701372915e-05 0.627139678042785 0.00046653129472242714 0.965237672586172 0.03310773687001185 0.0011504727801557723 3.7586468937995764e-05 
6 0.3647939340038334 0.9999999999999999 0.6268772762130899 1.0 0.33964291348391273 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.6268285220054106 0.00046713917525773203 0.9652276632302407 0.03310781786941581 0.0011597938144329897 3.758591065292097e-05 0.34362750402815107 0.00046562089067547015 0.9652525497987846 0.03310761067171033 0.0011366313377838212 3.758730104570515e-05 0.6272944493305899 0.0004662276378822427 0.9652426498272507 0.03310769542796752 0.0011458403598856325 3.758674701372915e-05 
8 0.3647939340038334 0.9999999999999999 0.6268772762130899 1.0 0.33964291348391273 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.6268285220054106 0.00046713917525773203 0.9652276632302407 0.03310781786941581 0.0011597938144329897 3.758591065292097e-05 0.3455129668614334 0.00046501489825638673 0.9652623775703122 0.03310752343580025 0.0011274962433606697 3.758785227038539e-05 0.6274486853436368 0.00046592416989207 0.9652476088740085 0.033107653361035945 0.0011412265706815387 3.758702438202823e-05 
26 0.3647939340038334 0.9999999999999999 0.6268772762130899 1.0 0.33964291348391273 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.6268285220054106 0.00046713917525773203 0.9652276632302407 0.03310781786941581 0.0011597938144329897 3.758591065292097e-05 0.36157050917986455 0.0004595948296133726 0.9653476715655396 0.033106629935167976 0.0010485109790972864 3.7592690581595565e-05 0.6276023872018682 0.0004656208906754702 0.9652525497987846 0.033107610671710336 0.0011366313377838215 3.758730104570516e-05 
44 0.3647939340038334 0.9999999999999999 0.6268772762130899 1.0 0.33964291348391273 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.6268285220054106 0.00046713917525773203 0.9652276632302407 0.03310781786941581 0.0011597938144329897 3.758591065292097e-05 0.3761209298336434 0.0004542353900901609 0.9654275628947798 0.03310555093696607 0.0009750534593417253 3.759731882229052e-05 0.6302795335053818 0.00046019405692482865 0.9653384683501521 0.03310673861795426 0.001057006811327525 3.7592163641214296e-05 
62 0.3647939340038334 0.9999999999999999 0.6268772762130899 1.0 0.33964291348391273 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.6268285220054106 0.00046713917525773203 0.9652276632302407 0.03310781786941581 0.0011597938144329897 3.758591065292097e-05 0.38933337295568055 0.00044893610678126486 0.9655024252600616 0.03310429931853291 0.000906737563103464 3.760175152094416e-05 0.6327933688006766 0.00045482790391981854 0.9654189410282855 0.03310567957766352 0.0009829546756444944 3.759681448646994e-05 
80 0.3647939340038334 0.9999999999999999 0.6268772762130899 1.0 0.33964291348391273 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.6268285220054106 0.00046713917525773203 0.9652276632302407 0.03310781786941581 0.0011597938144329897 3.758591065292097e-05 0.40135373072934194 0.0004436964931660224 0.9655726064020771 0.03310288706124372 0.0008432040413160357 3.760600219726544e-05 0.6351527712700673 0.0004495219603789851 0.9654943445360775 0.0331044465317474 0.0009140857035695106 3.760126822654618e-05 
98 0.3647939340038334 0.9999999999999999 0.6268772762130899 1.0 0.33964291348391273 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.6268285220054106 0.00046713917525773203 0.9652276632302407 0.03310781786941581 0.0011597938144329897 3.758591065292097e-05 0.4123084940840194 0.0004385160508040824 0.9656384298931782 0.033101325312487995 0.0007841186600979352 3.761008343182905e-05 0.6373662976659241 0.0004442757412080244 0.9655650294079556 0.0331030515579918 0.0008500377543548675 3.760553848970863e-05 
116 0.3647812469252249 0.9999999999999999 0.6268772762130899 1.0 0.3394877542205224 0.000467139175257732 0.9652276632302405 0.0331078178694158 0.0011597938144329897 3.7585910652920964e-05 0.6268285220054106 0.00046713917525773203 0.9652276632302407 0.03310781786941581 0.0011597938144329897 3.758591065292097e-05 0.41629699929738 0.00043339427088886004 0.9657001968082696 0.03309962444341925 0.0007291704704913463 3.7614006930966905e-05 0.6394421741098518 0.00043908874921178313 0.9656313218169676 0.03310150589352461 0.0007904739023381077 3.760963795759178e-05 
