Time 2.1-M-U-Total 2.1-M-U8 2.2-M-U-Total 2.2-M-U8 2.3-M-U-Total 2.3-M-U8 
0.16666666666666666 1.544921324074074 1.0 1.544916743159569 0.9955816715470143 1.5449160602885517 0.9955821152069491 
0.25 1.4839793015763856 1.0 1.4839749013637649 0.9955816715470144 1.483974611885348 0.9955818729532829 
0.3333333333333333 1.474390512243123 1.0 1.474386140462645 0.9955816715470144 1.4743862625703517 0.9955816005650809 
0.4166666666666667 1.474390512243123 1.0 1.474386140462645 0.9955816715470144 1.4743866731858914 0.9955813268944131 
0.5 1.474390512243123 1.0 1.474386140462645 0.9955816715470144 1.4743870848680258 0.9955810531793963 
2.0 1.474390512243123 1.0 1.474386140462645 0.9955816715470144 1.4743944870782155 0.995576131228582 
3.5 1.474390512243123 1.0 1.474386140462645 0.9955816715470144 1.4744018769039478 0.9955712184766746 
5.0 1.474390512243123 1.0 1.474386140462645 0.9955816715470144 1.474409252440962 0.9955663148426743 
6.5 1.474390512243123 1.0 1.474386140462645 0.9955816715470144 1.474416615854705 0.995561420198065 
8.0 1.474390512243123 1.0 1.474386140462645 0.9955816715470144 1.4744239652413769 0.9955565344640164 
9.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.474142062950079 0.9955758673378595 
11.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741422755313636 0.9955757259991473 
12.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741424877462639 0.9955755849085549 
14.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.474142699598643 0.9955754440633371 
15.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.474142911092253 0.9955753034606813 
17.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741431222308279 0.995575163097808 
18.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741433330180835 0.9955750229719706 
20.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741435434577173 0.9955748830804546 
21.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741437535534052 0.9955747434205775 
23.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741439633088005 0.9955746039896884 
24.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741441727275333 0.9955744647851683 
26.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.474144381813209 0.9955743258044281 
27.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741445905694073 0.9955741870449094 
29.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.474144798999681 0.9955740485040847 
30.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741450071075564 0.9955739101794556 
32.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741452148965315 0.9955737720685531 
33.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.474145422370075 0.9955736341689378 
35.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741456295316273 0.9955734964781987 
36.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741458363845983 0.9955733589939535 
38.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741460429323698 0.9955732217138472 
39.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741462491782902 0.9955730846355536 
41.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741464551256793 0.9955729477567733 
42.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741466607778255 0.995572811075234 
44.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.474146866137986 0.9955726745886905 
45.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741470712093865 0.9955725382949236 
47.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741472759952206 0.9955724021917409 
48.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741474804986525 0.9955722662769749 
50.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741476847228119 0.9955721305484849 
51.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.474147888670799 0.9955719950041542 
53.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.474148092345682 0.9955718596418915 
54.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741482957504966 0.9955717244596305 
56.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741484988882476 0.9955715894553288 
57.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741487017619086 0.9955714546269682 
59.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741489043744216 0.9955713199725544 
60.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.474149106728697 0.9955711854901164 
62.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741493088276143 0.9955710511777064 
63.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741495106740221 0.9955709170334002 
65.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741497122707383 0.9955707830552949 
66.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.47414991362055 0.9955706492415115 
68.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741501147262137 0.9955705155901924 
69.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741503155904556 0.9955703820995018 
71.0 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741505162159723 0.9955702487676258 
72.5 1.474374102440949 1.0 1.474386302964435 0.995581676434672 1.4741507166054302 0.9955701155927719 
