Time 2-MLP-U-Total 2-MLP-U8 
5.25 18.677483567251187 0.9991570426077172 
9.75 18.677483567251187 0.9991570426077172 
14.25 18.677483567251187 0.9991570426077172 
18.75 18.677483567251187 0.9991570426077172 
23.25 18.677483567251187 0.9991570426077172 
27.75 18.67843875639647 0.9991414790155215 
32.25 18.69340843227733 0.9988990156811968 
36.75 18.694392344647905 0.9988831760812866 
41.25 18.696824158570255 0.9988440792382456 
45.75 18.683022440519387 0.9990669412208337 
50.25 18.696074117937382 0.9988561303158507 
54.75 18.681636240306446 0.9990894510504358 
59.25 18.695983285696045 0.9988574835634949 
63.75 18.683086402566545 0.9990547347558357 
68.25 18.697106273230055 0.9988331145350682 
72.75 18.698228453503823 0.9987428642422238 
77.25 18.683351354658583 0.999033079293283 
80.0 18.697434569603423 0.9987618829185407 
84.58333333333333 18.698319175969342 0.9987851765920864 
89.08333333333333 18.698285242472707 0.9987418698450921 
93.58333333333333 18.683220513708854 0.9990489721627813 
98.08333333333333 18.6977206660911 0.9987300756246489 
