Time 2.1-M-U-Total 2.1-M-U8 2.2-M-U-Total 2.2-M-U8 2.3-M-U-Total 2.3-M-U8 
0.16666666666666666 6.072617314814815 1.0 6.072637008484574 0.9970729488963641 6.072620593681174 0.9970756483694915 
0.25 6.016795855511978 1.0 6.016815368151164 0.9970729488963642 6.016802259845606 0.9970751297433611 
0.3333333333333333 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.977928478487765 0.9970744697846889 
0.4166666666666667 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.977932497751401 0.9970738037475251 
0.5 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.977936553289298 0.9970731375462146 
2.0 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.978009414742137 0.9970611668736984 
3.5 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.978082112563399 0.9970492358680403 
5.0 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.978154575857113 0.9970373440970957 
6.5 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.978226875294448 0.9970254910855011 
8.0 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.978298940318704 0.9970136764112696 
9.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.981957832468371 0.9970178972981314 
11.0 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.978370841911928 0.9970018996096686 
12.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.981957832468371 0.9970178972981314 
14.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982048204258156 0.9970030592962436 
15.5 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.978514015225035 0.9969784579355511 
17.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.981957832468371 0.9970178972981314 
18.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982121640084637 0.9969910125606369 
20.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982123004653791 0.996990788832301 
21.5 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.978727317055923 0.9969435688329706 
23.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.981957832468371 0.9970178972981314 
24.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982194858693983 0.9969790062400584 
26.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982196670255548 0.996978709384223 
27.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982198481817111 0.9969784125285672 
29.0 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.97900901354434 0.9968975430591847 
30.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.981957832468371 0.9970178972981314 
32.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982267860961252 0.996967039858448 
33.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982270115625279 0.9969666705672203 
35.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982272370289308 0.9969663012762708 
36.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.9822746249533365 0.9969659319855998 
38.0 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.979356878277772 0.9968407675711713 
39.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.981957832468371 0.9970178972981314 
41.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982340647863719 0.9969551129456375 
42.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982343341798771 0.9969546718925311 
44.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982346035733825 0.9969542308398217 
45.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982348729668878 0.9969537897875095 
47.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982351423603933 0.9969533487355945 
48.5 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.979768293602617 0.9967736849095102 
50.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.981957832468371 0.9970178972981314 
51.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982413220479141 0.9969432250372747 
53.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.98241634991756 0.9969427128776787 
54.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982419479355981 0.9969422007186184 
56.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982422608794402 0.9969416885600939 
57.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.9824257382328225 0.9969411764021052 
59.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982428867671243 0.9969406642446523 
60.5 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.98024038541025 0.9966967706487578 
62.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.981957832468371 0.9970178972981314 
63.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982485579976134 0.9969313756747484 
65.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982489141218232 0.996930793046386 
66.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982492702460329 0.9969302104187174 
68.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982496263702427 0.9969296277917421 
69.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982499824944523 0.9969290451654608 
71.0 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982503386186621 0.996928462539873 
72.5 5.978186964285732 1.0 5.977936491280372 0.997072954299165 5.982506947428718 0.9969278799149789 
74.0 5.977918097676361 1.0 5.97793748423388 0.9970729488963642 5.980770175696796 0.9966105105657935 
