Time 2-M-U-Total 2-M-U8 
0.16666666666666666 0.9041653610327728 0.9964606120191716 
0.25 0.8784019828189688 0.9964606120191717 
0.3333333333333333 0.8784019828189688 0.9964606120191717 
0.4166666666666667 0.8784019828189688 0.9964606120191717 
0.5 0.8784019828189688 0.9964606120191717 
2.0 0.8784019828189688 0.9964606120191717 
3.5 0.8784019828189688 0.9964606120191717 
5.0 0.8784019828189688 0.9964606120191717 
6.5 0.8784019828189688 0.9964606120191717 
8.0 0.8784019828189688 0.9964606120191717 
9.5 0.8784019828189688 0.9964606120191717 
11.0 0.8784019828189688 0.9964606120191717 
12.5 0.8784019828189688 0.9964606120191717 
14.0 0.8784019828189688 0.9964606120191717 
15.5 0.8784019828189688 0.9964606120191717 
17.0 0.8784019828189688 0.9964606120191717 
18.5 0.8784019828189688 0.9964606120191717 
20.0 0.8784019828189688 0.9964606120191717 
21.5 0.8784019828189688 0.9964606120191717 
23.0 0.8784019828189688 0.9964606120191717 
24.5 0.8784019828189688 0.9964606120191717 
26.0 0.8784019828189688 0.9964606120191717 
27.5 0.8784019828189688 0.9964606120191717 
29.0 0.8784019828189688 0.9964606120191717 
30.5 0.8784019828189688 0.9964606120191717 
32.0 0.8784019828189688 0.9964606120191717 
33.5 0.8784019828189688 0.9964606120191717 
35.0 0.8784019828189688 0.9964606120191717 
36.5 0.8784019828189688 0.9964606120191717 
38.0 0.8784019828189688 0.9964606120191717 
39.5 0.8784019828189688 0.9964606120191717 
41.0 0.8784019828189688 0.9964606120191717 
42.5 0.8784019828189688 0.9964606120191717 
44.0 0.8784019828189688 0.9964606120191717 
45.5 0.8784019828189688 0.9964606120191717 
47.0 0.8784019828189688 0.9964606120191717 
48.5 0.8784019828189688 0.9964606120191717 
50.0 0.8784019828189688 0.9964606120191717 
51.5 0.8784019828189688 0.9964606120191717 
53.0 0.8784019828189688 0.9964606120191717 
54.5 0.8784019828189688 0.9964606120191717 
56.0 0.8784019828189688 0.9964606120191717 
57.5 0.8784019828189688 0.9964606120191717 
59.0 0.8784019828189688 0.9964606120191717 
60.5 0.8784019828189688 0.9964606120191717 
62.0 0.8784019828189688 0.9964606120191717 
63.5 0.8784019828189688 0.9964606120191717 
65.0 0.8784019828189688 0.9964606120191717 
66.5 0.8784019828189688 0.9964606120191717 
68.0 0.8784019828189688 0.9964606120191717 
69.5 0.8784019828189688 0.9964606120191717 
71.0 0.8784019828189688 0.9964606120191717 
72.5 0.8784019828189688 0.9964606120191717 
74.0 0.8784019828189688 0.9964606120191717 
75.5 0.8784019828189688 0.9964606120191717 
77.0 0.8784019828189688 0.9964606120191717 
78.5 0.8784019828189688 0.9964606120191717 
79.83333333333333 0.8784019828189688 0.9964606120191717 
79.91666666666667 0.8784019828189688 0.9964606120191717 
80.0 0.8784019828189688 0.9964606120191717 
80.08333333333333 0.8784019828189688 0.9964606120191717 
81.58333333333333 0.8784019828189688 0.9964606120191717 
83.08333333333333 0.8784019828189688 0.9964606120191717 
84.58333333333333 0.8784019828189688 0.9964606120191717 
86.08333333333333 0.8784019828189688 0.9964606120191717 
87.58333333333333 0.8784019828189688 0.9964606120191717 
89.08333333333333 0.8784019828189688 0.9964606120191717 
90.58333333333333 0.8784019828189688 0.9964606120191717 
92.08333333333333 0.8784019828189688 0.9964606120191717 
93.58333333333333 0.8784019828189688 0.9964606120191717 
95.08333333333333 0.8784019828189688 0.9964606120191717 
96.58333333333333 0.8784019828189688 0.9964606120191717 
98.08333333333333 0.8784019828189688 0.9964606120191717 
99.58333333333333 0.8784019828189688 0.9964606120191717 
