Time 1-MLP-Pu-Total 1-MLP-Pu9 
5.25 0.9660064864245143 0.3956145342134763 
9.75 1.0650884214285756 0.40413372282518656 
14.25 1.161104538577781 0.41236802763421565 
18.75 1.2434284974559489 0.41937073107477113 
23.25 1.3082131122617124 0.42411931150004173 
27.75 1.3566897335900823 0.42767959661709415 
32.25 1.372899380051278 0.4303959905572723 
36.75 1.39095178846648 0.43189860263574603 
41.25 1.3990597437468524 0.4328193418374405 
45.75 1.419029395886226 0.4329798042138832 
50.25 1.403543342363685 0.43339713641837396 
54.75 1.4143289868199527 0.43322125441986176 
59.25 1.3963064334530175 0.4332774746944187 
63.75 1.4037519387460835 0.43295768131614776 
68.25 1.3836966035150382 0.4328174987038626 
72.75 1.373695490575006 0.4323668465710243 
77.25 1.3832797190054817 0.4321712140465835 
80.0 1.3636907025112506 0.43195439202608604 
84.58333333333333 1.3459956561474913 0.4307088129240896 
89.08333333333333 1.3410655313184396 0.43047042018349585 
93.58333333333333 1.3522637589474418 0.4305054111792412 
98.08333333333333 1.3360170632431372 0.430349163233032 
