Time 1-MLP-Pu-Total 1-MLP-Pu9 
0.75 1.321587616984735 0.6216021495765187 
5.25 1.405353832526265 0.6352221525051941 
9.75 1.4867015881037038 0.6466592308159099 
14.25 1.5538112713220518 0.6561375224697162 
18.75 1.5607220897534464 0.6728433753382681 
23.25 1.570927657744515 0.6846091086417523 
27.75 1.527947971632478 0.7014152803249363 
32.25 1.5050612350643153 0.7125889388761417 
36.75 1.4757112927914176 0.7227977087209296 
41.25 1.4764622246634178 0.7268360242912572 
45.75 1.4253048807581485 0.7382209080853689 
50.25 1.421843383151418 0.7413180113220326 
54.75 1.3729147009032823 0.7514140938058749 
59.25 1.3705616371447165 0.753453296312554 
63.75 1.3251617034901872 0.762506840140851 
68.25 1.295067667354032 0.7672572985782797 
72.75 1.3052376191098303 0.768113141800063 
77.25 1.2592876589445285 0.7757918070442457 
80.08333333333333 1.2453392331957618 0.77985343842538 
84.58333333333333 1.225156429737689 0.7830973648849432 
89.08333333333333 1.2412265770894468 0.7830040326758835 
93.58333333333333 1.194631772598863 0.7895740767868972 
98.08333333333333 1.1803381635729313 0.7929076995999259 
