Time 2-MLP-STD-Pu-Total 2-MLP-STD-Pu8 2-MLP-STD-Pu9 2-MLP-STD-Pu10 2-MLP-STD-Pu11 2-MLP-STD-Pu12 
5.25 1.1589169883498378 0.018080544363361793 0.41881527711010963 0.27167134335310544 0.1752833078979477 0.11614952727547564 
9.75 1.1589169883498356 0.01808054436336179 0.41881527711010924 0.2716713433531051 0.17528330789794783 0.11614952727547602 
14.25 1.1589169883498378 0.018080544363361793 0.41881527711010963 0.27167134335310544 0.1752833078979477 0.11614952727547564 
18.75 1.1588304806234002 0.01854204625999356 0.41867978814939155 0.27122746397238906 0.17516748919078673 0.11638321242743889 
23.25 1.1586878120646782 0.019304475776807162 0.41845602089835 0.2704941908269056 0.17497580853197348 0.11676950396596389 
27.75 1.1583399023070327 0.019876368125343442 0.4182862973334106 0.2698617649818661 0.1748272555588044 0.11714831400057547 
32.25 1.1398765065950562 0.014493683961342332 0.41896729128996435 0.2713632605566926 0.1762513146284973 0.11892444956350355 
36.75 1.139001078336594 0.014640228496213796 0.4189187890817912 0.2709244429527883 0.1761909170638445 0.11932562240536242 
41.25 1.1373556189048701 0.014273662210308891 0.4190159955140014 0.2706688762848494 0.1762385057898719 0.11980296020096827 
45.75 1.155493219692773 0.020830642307172433 0.41797685968600395 0.26801538822737436 0.17450291724979808 0.11867419252965117 
50.25 1.1377570120309932 0.015519571536442447 0.41858532277267574 0.2695566300819327 0.1758916458293705 0.12044682977957866 
54.75 1.1544960418400563 0.020976578424847615 0.417814061373414 0.26729538537569153 0.17439411148733996 0.11951986333870676 
59.25 1.1374589278494136 0.01604060195997746 0.4183227886710146 0.2687412219934423 0.17569341096184107 0.12120197641372454 
63.75 1.154341736859383 0.021761408962673243 0.4175492585730795 0.2664190272786807 0.17413395799610404 0.12013634718946244 
68.25 1.1368578441147772 0.016519099263324132 0.41813703031122784 0.26799094949309493 0.17549448068238294 0.1218584402499702 
72.75 1.1366701116875098 0.016775572800118474 0.418156191533483 0.26760311331514536 0.17536254588361957 0.12210257646763366 
77.25 1.1540935450008363 0.022651820880628393 0.41720098347135665 0.26528847055494187 0.17379089638739384 0.12106782870567916 
80.0 1.1371778412593063 0.017853257633049506 0.41777966404659134 0.26673347932934743 0.17502969548049638 0.12260390351051527 
84.58333333333333 1.1359939107595451 0.017406870053063878 0.41779138635344787 0.2666485464470849 0.17509018584121572 0.12306301130518751 
89.08333333333333 1.1363050269252557 0.017773130131445956 0.41770423309889937 0.26627812818312174 0.17494104961623103 0.12330345897030193 
93.58333333333333 1.1537693099171809 0.023822729461177656 0.4167424277882572 0.2639523236423888 0.17333709315528215 0.1221454259528941 
98.08333333333333 1.1370238165598672 0.018818614809386347 0.41737220473393405 0.26549169158992336 0.1746022079984037 0.12371528086835258 
