Time 2-MLP-Pu-Total 2-MLP-Pu8 2-MLP-Pu9 2-MLP-Pu10 2-MLP-Pu11 2-MLP-Pu12 
0.75 1.3127493763588611 0.011724002519621685 0.6200163733148613 0.1948082060343075 0.10475469483404602 0.06869672329716339 
5.25 1.3127493763588611 0.011724002519621685 0.6200163733148613 0.1948082060343075 0.10475469483404602 0.06869672329716339 
9.75 1.3127493763588611 0.011724002519621685 0.6200163733148613 0.1948082060343075 0.10475469483404602 0.06869672329716339 
14.25 1.3127493763588611 0.011724002519621685 0.6200163733148613 0.1948082060343075 0.10475469483404602 0.06869672329716339 
18.75 1.3127493763588611 0.011724002519621685 0.6200163733148613 0.1948082060343075 0.10475469483404602 0.06869672329716339 
23.25 1.3116084451990924 0.011194348523052547 0.6203486632327606 0.19491261102355506 0.10481083678520106 0.06873354043543077 
27.75 1.2937516508535483 0.002800411560631352 0.6256147815706972 0.19656721743450029 0.10570057235218483 0.06931701708198638 
32.25 1.2925787337246974 0.0022425172532532624 0.6259647886598456 0.19667718913213758 0.1057597077031071 0.06935579725165632 
36.75 1.289679503929556 0.0008603195393754576 0.6268319403623535 0.1969496468845385 0.10590621707911817 0.06945187613461445 
41.25 1.3061367687679217 0.008642613845959103 0.6219495493052615 0.1954156070044222 0.10508131404871636 0.06891091579564082 
45.75 1.2905738206423634 0.0012871481608716972 0.6265641601728096 0.19686551075429778 0.10586097435127162 0.06942220656074946 
50.25 1.3077909297656107 0.009416024729302619 0.6214643332196788 0.19526315284475865 0.10499933449920539 0.06885715470705472 
54.75 1.290681023971873 0.0013393410895120516 0.6265314158074593 0.19685522252426682 0.10585544203608216 0.06941857854267958 
59.25 1.3059664904317785 0.008673447515387104 0.6219302051342572 0.19540952909517217 0.10507804575965567 0.06890877249552799 
63.75 1.2892881395402263 0.0007386725775754723 0.6269082582212029 0.19697362584027373 0.10591911134184775 0.06946033201910017 
68.25 1.2873320458520598 0.0005396146850954926 0.6270331415057204 0.1970128639792449 0.10594021096263609 0.06947416886730316 
72.75 1.3055038513479782 0.008628215348536167 0.6219585825147861 0.19541844522518212 0.10508284025213271 0.06891191665936298 
77.25 1.2883327875727375 0.0009534195895700581 0.6267735320274103 0.19693129507410662 0.10589634871504576 0.06944540459386724 
80.08333333333333 1.287598288768383 0.00022157789457477605 0.627232668781443 0.197075555147271 0.10597392203830919 0.06949627613840194 
84.58333333333333 1.2872635439000537 0.0005076383900987227 0.6270532025276481 0.19701916712197004 0.10594360036704624 0.0694763915932371 
89.08333333333333 1.305776176135441 0.008619821655377911 0.6219638484801683 0.19542009978353458 0.10508372996185708 0.0689125001190623 
93.58333333333333 1.28775891907076 0.0009561162067196444 0.6267718402461777 0.19693076351900402 0.10589606288061561 0.06944521714748321 
98.08333333333333 1.2864496907027951 0.00022175564378146953 0.6272325572666245 0.19707552010948384 0.10597390319735389 0.06949626378275627 
