Time 1-MLP-STD-Pu-Total 1-MLP-STD-Pu9 
5.25 1.1589169883498378 0.41881527711010963 
9.75 1.1589169883498356 0.41881527711010924 
14.25 1.1589169883498378 0.41881527711010963 
18.75 1.1589169883498378 0.41881527711010963 
23.25 1.1589169883498378 0.41881527711010963 
27.75 1.158462440175243 0.4188923705101591 
32.25 1.140349902268499 0.4197367906320484 
36.75 1.1398381833110893 0.41982871167171526 
41.25 1.1380868311968049 0.42014489669045774 
45.75 1.1478501379927721 0.41841584285857336 
50.25 1.138703386566344 0.4200332573953458 
54.75 1.1471176711627782 0.4185427303018294 
59.25 1.1384150728319502 0.4200857993086733 
63.75 1.1471607669552102 0.41855872317849 
68.25 1.1384435648957556 0.4200856422823325 
72.75 1.1383166593725043 0.42022916841342434 
77.25 1.1471526179004912 0.41856951135350623 
80.0 1.13852554790299 0.4201886817295382 
84.58333333333333 1.137665233071938 0.4202785037429215 
89.08333333333333 1.1382668950392005 0.42024622354004704 
93.58333333333333 1.1471147150289358 0.4185644972453859 
98.08333333333333 1.1303121590512288 0.4193733643164972 
