Time 1-MLP-STD-Pu-Total 1-MLP-STD-Pu9 
0.75 1.554789750518172 0.6212252774614363 
5.25 1.554789750518172 0.6212252774614363 
9.75 1.554789750518172 0.6212252774614363 
14.25 1.554789750518172 0.6212252774614363 
18.75 1.554789750518172 0.6212252774614363 
23.25 1.5542750172626745 0.6214311332576344 
27.75 1.533511895549389 0.6258885147308643 
32.25 1.5329190520211198 0.6261307146028255 
36.75 1.5308866401833352 0.6269624585668289 
41.25 1.5421445513880352 0.6223828337608927 
45.75 1.5316028392206422 0.6266691094843821 
50.25 1.5413060233501688 0.622721634204501 
54.75 1.5312668490137813 0.626806696466799 
59.25 1.5412803242448647 0.6227321806712629 
63.75 1.5312843488292969 0.626799561793008 
68.25 1.5307617319129543 0.6270144703045154 
72.75 1.5412411050785892 0.622748099102447 
77.25 1.5310122755010178 0.6269117852480045 
80.08333333333333 1.5302170244996371 0.627237353462419 
84.58333333333333 1.5306789308021707 0.6270484605955662 
89.08333333333333 1.5412344841122478 0.6227506990424098 
93.58333333333333 1.521333673905021 0.6269095572260375 
98.08333333333333 1.5205388411512508 0.6272373548398963 
