Time 3-M-Pu-Total 3-M-Pu8 3-M-Pu9 3-M-Pu10 3-M-Pu11 3-M-Pu12 
0.16666666666666666 0.20694418088279556 0.0004668351404888916 0.965232677078142 0.03310777768466571 0.0011551239065514128 3.758619015200461e-05 
0.25 0.2010459720527373 0.0004665312947224271 0.965237672586172 0.03310773687001185 0.0011504727801557718 3.7586468937995764e-05 
0.3333333333333333 0.20104445552904682 0.0004662276378822427 0.9652426498272507 0.033107695427967515 0.0011458403598856328 3.758674701372915e-05 
0.4166666666666667 0.2010429425118835 0.0004659241698920701 0.9652476088740086 0.033107653361035945 0.0011412265706815387 3.758702438202823e-05 
0.5 0.20104143358610438 0.0004656208906754702 0.9652525497987846 0.033107610671710336 0.0011366313377838215 3.7587301045705154e-05 
2.0 0.20101490397546945 0.0004601940569248286 0.9653384683501521 0.033106738617954254 0.001057006811327525 3.7592163641214296e-05 
3.5 0.2009895135954796 0.0004548279039198185 0.9654189410282855 0.03310567957766352 0.0009829546756444944 3.759681448646993e-05 
5.0 0.20096518271270883 0.0004495219603789852 0.9654943445360776 0.033104446531747406 0.0009140857035695108 3.7601268226546186e-05 
6.5 0.20094183834048177 0.0004442757412080243 0.9655650294079555 0.03310305155799179 0.0008500377543548673 3.760553848970863e-05 
8.0 0.2009194114450368 0.00043908874921178335 0.965631321816968 0.033101505893524626 0.0007904739023381081 3.7609637957591795e-05 
9.5 0.20089783898842134 0.00043396047666292674 0.9656935252588347 0.033099819993021064 0.0007350806930506812 3.761357843060134e-05 
11.0 0.20087706118792528 0.0004288904067385997 0.965751922121102 0.03309800358293094 0.0006835665183397359 3.7617370888856806e-05 
12.5 0.20085702360740393 0.0004238780148355571 0.9658067751450246 0.03309606571199283 0.0006356601025980037 3.762102554897055e-05 
14.0 0.2008376744627536 0.0004189227697734207 0.9658583287873348 0.033094014798282986 0.0005911090926919861 3.762455191694063e-05 
15.5 0.20081896675509042 0.00041402413489498275 0.9659068104885893 0.0330918586730313 0.0005496787446470018 3.762795883741693e-05 
17.0 0.2008008556160795 0.0004091815690717823 0.9659524318543765 0.033089604621422034 0.0005111507005900961 3.763125453958493e-05 
18.5 0.20078330047726137 0.0004043945276225412 0.9659953897552462 0.03308725942058231 0.00047532184986907915 3.763444667989353e-05 
20.0 0.2007662624498698 0.0003996624631514566 0.9660358673508581 0.03308482937494943 0.0004420032686591944 3.763754238184123e-05 
21.5 0.20074970652537677 0.0003949848263127995 0.9660740350434811 0.033082320349194075 0.00041101923273897327 3.764054827301891e-05 
