Time 2-MLP-STD-Pu-Total 2-MLP-STD-Pu8 2-MLP-STD-Pu9 2-MLP-STD-Pu10 2-MLP-STD-Pu11 2-MLP-STD-Pu12 
0.75 1.554789750518172 0.009797068001865233 0.6212252774614363 0.19518804188735536 0.10495894489970319 0.06883066774963978 
5.25 1.554789750518172 0.009797068001865233 0.6212252774614363 0.19518804188735536 0.10495894489970319 0.06883066774963978 
9.75 1.554789750518172 0.009797068001865233 0.6212252774614363 0.19518804188735536 0.10495894489970319 0.06883066774963978 
14.25 1.5547898217755254 0.010310727228945273 0.620817253879908 0.1946316577049476 0.10521768717871961 0.06902267400747945 
18.75 1.554789939480413 0.01115920378321972 0.6201432692140706 0.1937126068847652 0.10564508484972605 0.06933983526821848 
23.25 1.5545448346717696 0.011785445012861271 0.6196197203223944 0.19289579642191337 0.1060558291991458 0.06964320904368518 
27.75 1.5335333066539771 0.005273742285123708 0.6235840690300816 0.19351480982781566 0.10719728377729487 0.07043009507968405 
32.25 1.5326512614764471 0.005401372228879983 0.6234040355879649 0.19287179229042895 0.1075857839577503 0.07073701593497611 
36.75 1.5308658009569895 0.004920180558620831 0.6236240433011597 0.19236775414782137 0.10800482688145131 0.07108319511094666 
41.25 1.5518163849464457 0.012739292763822558 0.6186297404238722 0.1902944953943283 0.10749742828333689 0.07083904313464004 
45.75 1.5316114694533047 0.006335436699835638 0.6224478120281074 0.19101895778711947 0.10854683647590113 0.0716509570090364 
50.25 1.5509882331555216 0.012856182425761059 0.6181869479386806 0.18928239067207378 0.10815338906261371 0.07152108990087089 
54.75 1.5315537440517668 0.006904203620930761 0.6217535042944365 0.18995346882538885 0.10910056532102767 0.07228825793821612 
59.25 1.550986197258323 0.013718111900110798 0.6174816170038443 0.18815783147613485 0.10857413911702361 0.07206830050288646 
63.75 1.5310388132757582 0.007412267877204817 0.6212892993244229 0.18892674012338279 0.10951588012811853 0.07285581254687079 
68.25 1.530485541071288 0.007568522127365015 0.6211933421453698 0.18843881238355134 0.10968142855371436 0.07311789478999955 
72.75 1.5509170320452355 0.014680401028710044 0.6166169989147718 0.1866948876087314 0.109100146581095 0.0729075658666917 
77.25 1.531295819366057 0.008821426588153497 0.6203055546122608 0.18737668496847185 0.1098944968395873 0.0736018369915266 
80.08333333333333 1.5302573493382192 0.008344662245782081 0.6204914997981748 0.1871032356615566 0.11011943772521204 0.0739411645692747 
84.58333333333333 1.5304353105770956 0.008684101743517483 0.6201996418691061 0.18668273316003745 0.11023074057347632 0.07420278265386272 
89.08333333333333 1.5509087971771114 0.0160132383495934 0.6156406259105862 0.18492855533543737 0.10951808236105905 0.07389949804332387 
93.58333333333333 1.5313077939194575 0.009867216461074475 0.6194074876774136 0.18575609300838578 0.11032756868525773 0.07464163416786843 
98.08333333333333 1.5302656502646514 0.009405239646886443 0.6196401890889053 0.1855249843100282 0.11048583097706428 0.07494375597711593 
