Time 2.1-M-Pu-Total 2.1-M-Pu9 2.2-M-Pu-Total 2.2-M-Pu8 2.2-M-Pu9 2.2-M-Pu10 2.2-M-Pu11 2.2-M-Pu12 2.3-M-Pu-Total 2.3-M-Pu8 2.3-M-Pu9 2.3-M-Pu10 2.3-M-Pu11 2.3-M-Pu12 
0.16666666666666666 0.1402638611111111 1.0 0.14026792639253005 0.0007255079294279838 0.9649755365925736 0.03309714016694078 0.0011622726341868465 3.954267687087371e-05 0.14026735262619197 0.0007250332020619531 0.9649808509837604 0.033096984283261674 0.0011575886982425245 3.954283267348855e-05 
0.25 0.13079986795002627 1.0 0.1308036589355914 0.0007255079294279835 0.9649755365925734 0.033097140166940764 0.0011622726341868463 3.95426768708737e-05 0.13080211063329558 0.0007245614342374929 0.9649860181805047 0.03309694939878238 0.0011529278534338308 3.954313304165483e-05 
0.3333333333333333 0.12995469957250305 0.9999999999999999 0.1299584660624691 0.0007255079294279837 0.9649755365925735 0.03309714016694077 0.0011622726341868465 3.954267687087371e-05 0.12995592357834712 0.0007240899599002102 0.9649911669560688 0.03309691389797243 0.001148285753382868 3.9543432675681054e-05 
0.4166666666666667 0.12995469957250305 0.9999999999999999 0.1299584660624691 0.0007255079294279837 0.9649755365925735 0.03309714016694077 0.0011622726341868465 3.954267687087371e-05 0.12995492178415313 0.000723618778585874 0.9649962973999924 0.033096877767532604 0.0011436623223294647 3.9543731559658416e-05 
0.5 0.12995469957250305 0.9999999999999999 0.1299584660624691 0.0007255079294279837 0.9649755365925735 0.03309714016694077 0.0011622726341868465 3.954267687087371e-05 0.12995392254845858 0.0007231478901762516 0.9650014095848003 0.033096841009960264 0.001139057485366649 3.9544029696551234e-05 
2.0 0.12995469957250305 0.9999999999999999 0.1299584660624691 0.0007255079294279837 0.9649755365925735 0.03309714016694077 0.0011622726341868465 3.954267687087371e-05 0.1299363476446825 0.0007147218492264632 0.9650903875722809 0.03309607492445284 0.0010592663823182347 3.9549271721563974e-05 
3.5 0.129954699572503 1.0 0.12995846606246908 0.0007255079294279837 0.9649755365925735 0.03309714016694077 0.0011622726341868465 3.9542676870873704e-05 0.12991951520887857 0.0007063899641537541 0.9651738763482622 0.0330951203542336 0.000985059044201369 3.9554289149035635e-05 
5.0 0.129954699572503 1.0 0.12995846606246908 0.0007255079294279837 0.9649755365925735 0.03309714016694077 0.0011622726341868465 3.9542676870873704e-05 0.12990337375259683 0.0006981515059064766 0.9652522536091107 0.03309399031394635 0.0009160454736056121 3.9559097430948135e-05 
6.5 0.129954699572503 1.0 0.12995846606246908 0.0007255079294279837 0.9649755365925735 0.03309714016694077 0.0011622726341868465 3.9542676870873704e-05 0.1298878757315441 0.0006900057238664459 0.9653258708404754 0.03309269691370608 0.0008518628110042753 3.956371094753811e-05 
8.0 0.129954699572503 1.0 0.12995846606246908 0.0007255079294279837 0.9649755365925735 0.03309714016694077 0.0011622726341868465 3.9542676870873704e-05 0.12987297658918617 0.0006819518485136916 0.9653950551267012 0.03309125142164083 0.0007921734600630371 3.9568143081241867e-05 
9.5 0.12997110937467699 1.0 0.12995830356126206 0.0007255058611939489 0.9649754893921121 0.03309719064541554 0.0011622714340098418 3.954266726855924e-05 0.13020588281633882 0.0006887733743306541 0.9654526545232318 0.033003134352328004 0.000815970926269644 3.946682383992114e-05 
11.0 0.12997110937467699 1.0 0.12995830356126206 0.0007255058611939489 0.9649754893921121 0.03309719064541554 0.0011622714340098418 3.954266726855924e-05 0.1298586352268196 0.0006739890938682338 0.9654601108370778 0.033089664322169324 0.0007366633405990512 3.957240628561e-05 
12.5 0.12997110937467699 1.0 0.12995830356126206 0.0007255058611939489 0.9649754893921121 0.03309719064541554 0.0011622714340098418 3.954266726855924e-05 0.13020588281633882 0.0006887733743306541 0.9654526545232318 0.033003134352328004 0.000815970926269644 3.946682383992114e-05 
14.0 0.12997110937467699 1.0 0.12995830356126206 0.0007255058611939489 0.9649754893921121 0.03309719064541554 0.0011622714340098418 3.954266726855924e-05 0.13018810245812332 0.0006789551679455572 0.9655336952526472 0.03300125060764559 0.0007466268878679835 3.947208389363879e-05 
15.5 0.12997110937467699 1.0 0.12995830356126206 0.0007255058611939489 0.9649754893921121 0.03309719064541554 0.0011622714340098418 3.954266726855924e-05 0.129831474627488 0.0006583337337087669 0.9655789497521966 0.03308610364219434 0.0006370324004431925 3.958047145702905e-05 
