Time 1-MLP-STD-U-Total 1-MLP-STD-U8 
5.25 18.4634213914373 0.999105373534176 
9.75 18.463421391437304 0.9991053735341758 
14.25 18.4634213914373 0.999105373534176 
18.75 18.4634213914373 0.999105373534176 
23.25 18.4634213914373 0.999105373534176 
27.75 18.46384772069844 0.9990925810151708 
32.25 18.481565352130488 0.9988196327901293 
36.75 18.48204321834797 0.9988049548002867 
41.25 18.483678206282054 0.9987546439506542 
45.75 18.474552234533185 0.9990334944480158 
50.25 18.483102739021046 0.9987723713718756 
54.75 18.475237813701202 0.9990126971211033 
59.25 18.48337099667622 0.9987637643731166 
63.75 18.47514128414048 0.9989928590008179 
68.25 18.483332784015214 0.9987602142914983 
72.75 18.483171831981494 0.9986517397930715 
77.25 18.475126611149708 0.9989842339147459 
80.0 18.482982514354358 0.9986599167867343 
84.58333333333333 18.483936094726573 0.9986920840761078 
89.08333333333333 18.48319961088408 0.9986433250886997 
93.58333333333333 18.475189356226554 0.9989934426078347 
98.08333333333333 18.491295707600877 0.9986184242578874 
